V1,V2,Vout
0.408,0.75,0.0171773553
0.409,0.75,0.0171775009
0.41,0.75,0.0171776516
0.411,0.75,0.0171778093
0.412,0.75,0.0171779708
0.413,0.75,0.0171781359
0.414,0.75,0.017178308
0.415,0.75,0.0171784824
0.416,0.75,0.0171786613
0.417,0.75,0.0171788447
0.418,0.75,0.0171790334
0.419,0.75,0.0171792295
0.42,0.75,0.0171794281
0.421,0.75,0.0171796316
0.422,0.75,0.0171798431
0.423,0.75,0.0171800609
0.424,0.75,0.0171802872
0.425,0.75,0.0171805138
0.426,0.75,0.0171807507
0.427,0.75,0.017180993
0.428,0.75,0.0171812429
0.429,0.75,0.0171814956
0.43,0.75,0.017181757
0.431,0.75,0.0171820266
0.432,0.75,0.0171823062
0.433,0.75,0.0171825893
0.434,0.75,0.0171828791
0.435,0.75,0.0171831829
0.436,0.75,0.0171834884
0.437,0.75,0.0171838069
0.438,0.75,0.0171841367
0.439,0.75,0.0171844674
0.44,0.75,0.0171848151
0.441,0.75,0.0171851692
0.442,0.75,0.0171855299
0.443,0.75,0.0171859051
0.444,0.75,0.0171862872
0.445,0.75,0.0171866832
0.446,0.75,0.0171870862
0.447,0.75,0.0171875027
0.448,0.75,0.0171879291
0.449,0.75,0.0171883654
0.45,0.75,0.017188819
0.451,0.75,0.0171892809
0.452,0.75,0.0171897598
0.453,0.75,0.0171902516
0.454,0.75,0.017190751
0.455,0.75,0.0171912678
0.456,0.75,0.0171917981
0.457,0.75,0.0171923442
0.458,0.75,0.0171929069
0.459,0.75,0.0171934788
0.46,0.75,0.0171940722
0.461,0.75,0.017194679
0.462,0.75,0.017195306
0.463,0.75,0.0171959472
0.464,0.75,0.0171966012
0.465,0.75,0.0171972805
0.466,0.75,0.0171979752
0.467,0.75,0.0171986906
0.468,0.75,0.0171994228
0.469,0.75,0.0172001795
0.47,0.75,0.0172009515
0.471,0.75,0.017201751
0.472,0.75,0.0172025655
0.473,0.75,0.0172034094
0.474,0.75,0.0172042694
0.475,0.75,0.0172051561
0.476,0.75,0.0172060674
0.477,0.75,0.017207005
0.478,0.75,0.0172079673
0.479,0.75,0.017208955
0.48,0.75,0.0172099678
0.481,0.75,0.017211012
0.482,0.75,0.0172120825
0.483,0.75,0.0172131826
0.484,0.75,0.0172143129
0.485,0.75,0.0172154752
0.486,0.75,0.0172166678
0.487,0.75,0.0172178911
0.488,0.75,0.0172191542
0.489,0.75,0.0172204448
0.49,0.75,0.017221777
0.491,0.75,0.0172231372
0.492,0.75,0.017224543
0.493,0.75,0.0172259829
0.494,0.75,0.0172274614
0.495,0.75,0.0172289801
0.496,0.75,0.0172305397
0.497,0.75,0.0172321474
0.498,0.75,0.0172337944
0.499,0.75,0.0172354871
0.5,0.75,0.0172372271
0.501,0.75,0.0172390109
0.502,0.75,0.017240846
0.503,0.75,0.0172427315
0.504,0.75,0.0172446706
0.505,0.75,0.0172466571
0.506,0.75,0.0172487028
0.507,0.75,0.0172508
0.508,0.75,0.0172529544
0.509,0.75,0.0172551679
0.51,0.75,0.0172574437
0.511,0.75,0.0172597791
0.512,0.75,0.0172621815
0.513,0.75,0.0172646434
0.514,0.75,0.017267176
0.515,0.75,0.0172697787
0.516,0.75,0.0172724479
0.517,0.75,0.0172751894
0.518,0.75,0.0172780112
0.519,0.75,0.0172809036
0.52,0.75,0.0172838784
0.521,0.75,0.017286932
0.522,0.75,0.0172900679
0.523,0.75,0.0172932911
0.524,0.75,0.0172966
0.525,0.75,0.0172999952
0.526,0.75,0.0173034866
0.527,0.75,0.0173070706
0.528,0.75,0.0173107547
0.529,0.75,0.0173145361
0.53,0.75,0.0173184184
0.531,0.75,0.0173224067
0.532,0.75,0.017326504
0.533,0.75,0.0173307118
0.534,0.75,0.0173350351
0.535,0.75,0.0173394688
0.536,0.75,0.0173440272
0.537,0.75,0.0173487079
0.538,0.75,0.0173535175
0.539,0.75,0.0173584544
0.54,0.75,0.0173635234
0.541,0.75,0.0173687313
0.542,0.75,0.0173740772
0.543,0.75,0.017379565
0.544,0.75,0.0173852053
0.545,0.75,0.0173909946
0.546,0.75,0.0173969437
0.547,0.75,0.0174030482
0.548,0.75,0.0174093195
0.549,0.75,0.0174157582
0.55,0.75,0.017422373
0.551,0.75,0.01742916
0.552,0.75,0.0174361326
0.553,0.75,0.0174432928
0.554,0.75,0.0174506416
0.555,0.75,0.0174581913
0.556,0.75,0.0174659448
0.557,0.75,0.0174739017
0.558,0.75,0.0174820736
0.559,0.75,0.0174904659
0.56,0.75,0.0174990806
0.561,0.75,0.017507929
0.562,0.75,0.01751701
0.563,0.75,0.0175263352
0.564,0.75,0.0175359091
0.565,0.75,0.0175457422
0.566,0.75,0.0175558338
0.567,0.75,0.0175661996
0.568,0.75,0.0175768404
0.569,0.75,0.0175877598
0.57,0.75,0.0175989768
0.571,0.75,0.0176104877
0.572,0.75,0.0176223086
0.573,0.75,0.0176344457
0.574,0.75,0.0176469038
0.575,0.75,0.0176596886
0.576,0.75,0.0176728211
0.577,0.75,0.0176863003
0.578,0.75,0.0177001344
0.579,0.75,0.0177143411
0.58,0.75,0.0177289223
0.581,0.75,0.0177438882
0.582,0.75,0.0177592548
0.583,0.75,0.0177750224
